a,b,c
1.0277777777777786,19,19.02777777777778
2.1111111111111107,20,20.11111111111111
3.25,21,21.25
4.444444444444445,22,22.444444444444443
5.694444444444445,23,23.694444444444443
7.0,24,25.0
8.36111111111111,25,26.36111111111111
9.777777777777779,26,27.77777777777778
11.25,27,29.25
12.777777777777779,28,30.77777777777778
14.36111111111111,29,32.361111111111114
16.0,30,34.0
17.694444444444443,31,35.69444444444444
19.444444444444443,32,37.44444444444444
21.25,33,39.25
23.111111111111114,34,41.111111111111114
25.02777777777778,35,43.02777777777778
27.0,36,45.0
29.02777777777778,37,47.02777777777778
31.111111111111114,38,49.111111111111114
33.25,39,51.25
35.44444444444444,40,53.44444444444444
37.69444444444444,41,55.69444444444444
40.0,42,58.0
42.361111111111114,43,60.361111111111114
44.77777777777778,44,62.77777777777778
47.25,45,65.25
49.77777777777778,46,67.77777777777777
52.361111111111114,47,70.36111111111111
55.0,48,73.0
57.69444444444444,49,75.69444444444444
60.44444444444444,50,78.44444444444444
63.25,51,81.25
66.11111111111111,52,84.11111111111111
69.02777777777777,53,87.02777777777777
72.0,54,90.0
75.02777777777777,55,93.02777777777777
78.11111111111111,56,96.11111111111111
81.25,57,99.25
84.44444444444444,58,102.44444444444444
87.69444444444444,59,105.69444444444444
91.0,60,109.0
94.36111111111111,61,112.36111111111111
97.77777777777777,62,115.77777777777777
101.25,63,119.25
104.77777777777777,64,122.77777777777777
108.36111111111111,65,126.36111111111111
112.0,66,130.0
115.69444444444444,67,133.69444444444446
119.44444444444446,68,137.44444444444446
123.25,69,141.25
127.11111111111111,70,145.11111111111111
131.02777777777777,71,149.02777777777777
135.0,72,153.0
139.02777777777777,73,157.02777777777777
143.11111111111111,74,161.11111111111111
147.25,75,165.25
151.44444444444446,76,169.44444444444446
155.69444444444446,77,173.69444444444446
160.0,78,178.0
164.36111111111111,79,182.36111111111111
168.77777777777777,80,186.77777777777777
173.25,81,191.25
177.77777777777777,82,195.77777777777777
182.36111111111111,83,200.36111111111111
187.0,84,205.0
191.69444444444446,85,209.69444444444446
196.44444444444446,86,214.44444444444446
201.25,87,219.25
206.11111111111111,88,224.11111111111111
211.02777777777777,89,229.02777777777777
216.0,90,234.0
221.02777777777777,91,239.02777777777777
226.11111111111111,92,244.11111111111111
231.25,93,249.25
236.44444444444446,94,254.44444444444446
241.69444444444446,95,259.69444444444446
247.0,96,265.0
252.3611111111111,97,270.3611111111111
257.77777777777777,98,275.77777777777777
263.25,99,281.25
268.77777777777777,100,286.77777777777777
