a,b,c
35382037100567/35184372088832,90,3166791153006615/35184372088832
17789851056151/8796093022208,91,800642130032663/8796093022208
107332101372111/35184372088832,92,3238741217278159/35184372088832
575600514172353/140737488355328,93,204706827778071/2199023255552
723453942950141/140737488355328,94,3312272601643583/35184372088832
436444345910905/70368744177664,95,6699262577723001/70368744177664
511952380393679/70368744177664,96,6774770612205775/70368744177664
1176502149846787/140737488355328,97,3425534653367745/35184372088832
41583776843753/4398046511104,98,433009916332009/4398046511104
371610222061821/35184372088832,99,3503019337967869/35184372088832
1643782237588353/140737488355328,100,110698583603223/1099511627776
